ID,J1,J2,J3,J4,J5,J6,J7,Distance,X,Y,Z,Reachable
153,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.02784,6.205,3.82,0.06,0
154,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.033,6.245,3.82,0.06,0
155,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.03968,6.285,3.82,0.06,0
156,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.04784,6.325,3.82,0.06,0
157,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.05745,6.365,3.82,0.06,0
158,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.06848,6.405,3.82,0.06,0
159,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.08087,6.445,3.82,0.06,0
160,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.09458,6.485,3.82,0.06,0
161,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.05162,6.125,3.78,0.06,0
162,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.05363,6.165,3.78,0.06,0
163,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.05715,6.205,3.78,0.06,0
164,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.06217,6.245,3.78,0.06,0
165,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.06867,6.285,3.78,0.06,0
166,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.07661,6.325,3.78,0.06,0
167,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.08597,6.365,3.78,0.06,0
168,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.09671,6.405,3.78,0.06,0
169,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.10878,6.445,3.78,0.06,0
170,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.12216,6.485,3.78,0.06,0
171,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.08177,6.125,3.74,0.06,0
172,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.08373,6.165,3.74,0.06,0
173,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.08715,6.205,3.74,0.06,0
174,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.09203,6.245,3.74,0.06,0
175,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.09835,6.285,3.74,0.06,0
176,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.10608,6.325,3.74,0.06,0
177,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.11519,6.365,3.74,0.06,0
178,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.12565,6.405,3.74,0.06,0
179,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.13742,6.445,3.74,0.06,0
180,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.15046,6.485,3.74,0.06,0
181,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.11254,6.125,3.7,0.06,0
182,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.11445,6.165,3.7,0.06,0
183,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.11778,6.205,3.7,0.06,0
184,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.12253,6.245,3.7,0.06,0
185,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.12867,6.285,3.7,0.06,0
186,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.13619,6.325,3.7,0.06,0
187,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.14507,6.365,3.7,0.06,0
188,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.15525,6.405,3.7,0.06,0
189,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.16673,6.445,3.7,0.06,0
190,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.17944,6.485,3.7,0.06,0
191,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.14389,6.125,3.66,0.06,0
192,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.14574,6.165,3.66,0.06,0
193,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.14898,6.205,3.66,0.06,0
194,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.1536,6.245,3.66,0.06,0
195,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.15958,6.285,3.66,0.06,0
196,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.1669,6.325,3.66,0.06,0
197,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.17554,6.365,3.66,0.06,0
198,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.18547,6.405,3.66,0.06,0
199,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.19665,6.445,3.66,0.06,0
